model,noise_type,alpha,macro_f1,accuracy
baseline,typographic,0.0,0.9119,0.912
baseline,typographic,0.1,0.7538,0.762
baseline,typographic,0.2,0.5524,0.606
baseline,typographic,0.3,0.3821,0.514
baseline,typographic,0.4,0.3773,0.516
baseline,typographic,0.5,0.3456,0.504
baseline,typographic,0.6,0.3359,0.498
baseline,typographic,0.7,0.3324,0.498
baseline,typographic,0.8,0.3378,0.502
baseline,typographic,0.9,0.3333,0.5
baseline,typographic,1.0,0.3333,0.5
baseline,abbreviation,0.0,0.9119,0.912
baseline,abbreviation,0.1,0.908,0.908
baseline,abbreviation,0.2,0.906,0.906
baseline,abbreviation,0.3,0.892,0.892
baseline,abbreviation,0.4,0.886,0.886
baseline,abbreviation,0.5,0.882,0.882
baseline,abbreviation,0.6,0.884,0.884
baseline,abbreviation,0.7,0.88,0.88
baseline,abbreviation,0.8,0.886,0.886
baseline,abbreviation,0.9,0.878,0.878
baseline,abbreviation,1.0,0.876,0.876
baseline,slang,0.0,0.9119,0.912
baseline,slang,0.1,0.914,0.914
baseline,slang,0.2,0.906,0.906
baseline,slang,0.3,0.914,0.914
baseline,slang,0.4,0.9119,0.912
baseline,slang,0.5,0.902,0.902
baseline,slang,0.6,0.906,0.906
baseline,slang,0.7,0.908,0.908
baseline,slang,0.8,0.906,0.906
baseline,slang,0.9,0.9,0.9
baseline,slang,1.0,0.9,0.9
baseline,emoji,0.0,0.9119,0.912
baseline,emoji,0.1,0.906,0.906
baseline,emoji,0.2,0.8938,0.894
baseline,emoji,0.3,0.8798,0.88
baseline,emoji,0.4,0.8856,0.886
baseline,emoji,0.5,0.8593,0.86
baseline,emoji,0.6,0.8487,0.85
baseline,emoji,0.7,0.8207,0.824
baseline,emoji,0.8,0.8194,0.824
baseline,emoji,0.9,0.7983,0.804
baseline,emoji,1.0,0.7621,0.772
baseline,punctuation,0.0,0.9119,0.912
baseline,punctuation,0.1,0.908,0.908
baseline,punctuation,0.2,0.904,0.904
baseline,punctuation,0.3,0.906,0.906
baseline,punctuation,0.4,0.9,0.9
baseline,punctuation,0.5,0.908,0.908
baseline,punctuation,0.6,0.908,0.908
baseline,punctuation,0.7,0.902,0.902
baseline,punctuation,0.8,0.9,0.9
baseline,punctuation,0.9,0.898,0.898
baseline,punctuation,1.0,0.894,0.894
baseline,sarcasm,0.0,0.9119,0.912
baseline,sarcasm,0.1,0.91,0.91
baseline,sarcasm,0.2,0.9159,0.916
baseline,sarcasm,0.3,0.9139,0.914
baseline,sarcasm,0.4,0.9119,0.912
baseline,sarcasm,0.5,0.9139,0.914
baseline,sarcasm,0.6,0.9139,0.914
baseline,sarcasm,0.7,0.9119,0.912
baseline,sarcasm,0.8,0.9159,0.916
baseline,sarcasm,0.9,0.9139,0.914
baseline,sarcasm,1.0,0.9159,0.916
