model,noise_type,alpha,macro_f1,accuracy
noise_augmented,typographic,0.0,0.8998,0.9
noise_augmented,typographic,0.1,0.7958,0.796
noise_augmented,typographic,0.2,0.7379,0.738
noise_augmented,typographic,0.3,0.6707,0.672
noise_augmented,typographic,0.4,0.6134,0.614
noise_augmented,typographic,0.5,0.5993,0.602
noise_augmented,typographic,0.6,0.546,0.57
noise_augmented,typographic,0.7,0.477,0.526
noise_augmented,typographic,0.8,0.4216,0.506
noise_augmented,typographic,0.9,0.4002,0.508
noise_augmented,typographic,1.0,0.3838,0.502
noise_augmented,abbreviation,0.0,0.8998,0.9
noise_augmented,abbreviation,0.1,0.8958,0.896
noise_augmented,abbreviation,0.2,0.8919,0.892
noise_augmented,abbreviation,0.3,0.8939,0.894
noise_augmented,abbreviation,0.4,0.8859,0.886
noise_augmented,abbreviation,0.5,0.8839,0.884
noise_augmented,abbreviation,0.6,0.8879,0.888
noise_augmented,abbreviation,0.7,0.8779,0.878
noise_augmented,abbreviation,0.8,0.8639,0.864
noise_augmented,abbreviation,0.9,0.8659,0.866
noise_augmented,abbreviation,1.0,0.8659,0.866
noise_augmented,slang,0.0,0.8998,0.9
noise_augmented,slang,0.1,0.8978,0.898
noise_augmented,slang,0.2,0.8979,0.898
noise_augmented,slang,0.3,0.9019,0.902
noise_augmented,slang,0.4,0.8958,0.896
noise_augmented,slang,0.5,0.8959,0.896
noise_augmented,slang,0.6,0.8938,0.894
noise_augmented,slang,0.7,0.8919,0.892
noise_augmented,slang,0.8,0.8879,0.888
noise_augmented,slang,0.9,0.8899,0.89
noise_augmented,slang,1.0,0.8879,0.888
noise_augmented,emoji,0.0,0.8998,0.9
noise_augmented,emoji,0.1,0.9099,0.91
noise_augmented,emoji,0.2,0.8938,0.894
noise_augmented,emoji,0.3,0.9058,0.906
noise_augmented,emoji,0.4,0.9119,0.912
noise_augmented,emoji,0.5,0.8918,0.892
noise_augmented,emoji,0.6,0.8838,0.884
noise_augmented,emoji,0.7,0.8918,0.892
noise_augmented,emoji,0.8,0.8777,0.878
noise_augmented,emoji,0.9,0.8715,0.872
noise_augmented,emoji,1.0,0.8676,0.868
noise_augmented,punctuation,0.0,0.8998,0.9
noise_augmented,punctuation,0.1,0.8998,0.9
noise_augmented,punctuation,0.2,0.8999,0.9
noise_augmented,punctuation,0.3,0.9059,0.906
noise_augmented,punctuation,0.4,0.9039,0.904
noise_augmented,punctuation,0.5,0.8999,0.9
noise_augmented,punctuation,0.6,0.9019,0.902
noise_augmented,punctuation,0.7,0.902,0.902
noise_augmented,punctuation,0.8,0.8999,0.9
noise_augmented,punctuation,0.9,0.894,0.894
noise_augmented,punctuation,1.0,0.896,0.896
noise_augmented,sarcasm,0.0,0.8998,0.9
noise_augmented,sarcasm,0.1,0.9018,0.902
noise_augmented,sarcasm,0.2,0.9078,0.908
noise_augmented,sarcasm,0.3,0.9078,0.908
noise_augmented,sarcasm,0.4,0.9078,0.908
noise_augmented,sarcasm,0.5,0.9078,0.908
noise_augmented,sarcasm,0.6,0.9157,0.916
noise_augmented,sarcasm,0.7,0.9257,0.926
noise_augmented,sarcasm,0.8,0.9277,0.928
noise_augmented,sarcasm,0.9,0.9237,0.924
noise_augmented,sarcasm,1.0,0.9297,0.93
